ds,yhat,yhat_lower,yhat_upper,consumer_id
2025-07-01,1866.304993229988,-29021.177719679563,32791.91159322056,-9218171150999112048
2025-07-02,2686.6286919179797,-31818.94875380029,39801.304218897014,-9218171150999112048
2025-07-03,2753.122382123951,-31801.367253597065,37778.00754535196,-9218171150999112048
2025-07-04,4285.581165768962,-42844.85960734253,52872.77946018865,-9218171150999112048
2025-07-05,3174.145679734414,-37117.25377171621,44858.07043414849,-9218171150999112048
2025-07-06,3798.4950022052703,-43303.040551955106,49424.17693264575,-9218171150999112048
2025-07-07,4068.646384487434,-45000.018588467094,53404.310274596726,-9218171150999112048
2025-07-08,4243.5657738554055,-48627.98683757749,54263.393309410225,-9218171150999112048
2025-07-09,4936.713727734578,-50452.557026985094,61099.2033990923,-9218171150999112048
2025-07-10,4856.81307796487,-52949.008223729645,59929.12295953936,-9218171150999112048
2025-07-11,6165.521211700006,-66149.79276993146,75542.15812792213,-9218171150999112048
2025-07-12,4868.1507916221835,-54074.36567442674,61690.99663842118,-9218171150999112048
2025-07-13,5228.525064857268,-58145.4426290898,64874.68609121675,-9218171150999112048
2025-07-14,5218.259821694032,-58040.04866201224,67376.91634098157,-9218171150999112048
2025-07-15,5094.262460485332,-56341.352864586275,64828.08034620409,-9218171150999112048
2025-07-16,5458.408182642442,-63250.460321630206,70866.84108718336,-9218171150999112048
2025-07-17,5061.1265404306,-58596.160683280425,68294.48884588883,-9218171150999112048
2025-07-18,6009.664850093134,-66971.64177790779,79046.73633320468,-9218171150999112048
2025-07-19,4427.460251951129,-52652.983694463735,62651.24891953102,-9218171150999112048
2025-07-20,4464.585923667373,-55187.41656415578,61832.310612466616,-9218171150999112048
2025-07-21,4155.464713855655,-52032.885753558025,60680.077084645396,-9218171150999112048
2025-07-22,3755.2284456528837,-50290.16830757763,52974.63378080482,-9218171150999112048
2025-07-23,3853.519058975529,-47244.23527895636,57543.849854102045,-9218171150999112048
2025-07-24,3240.911798446041,-42305.834038153975,48569.06324003895,-9218171150999112048
2025-07-25,3967.8101222665573,-54686.18370080983,57244.218481219454,-9218171150999112048
2025-07-26,2272.5309991165454,-36298.514256590126,36156.24758823207,-9218171150999112048
2025-07-27,2187.4238211987545,-34740.45073771556,37011.02562827448,-9218171150999112048
2025-07-28,1805.1152553398272,-32180.237603541613,36959.377293317535,-9218171150999112048
2025-07-29,1373.8434653726615,-26081.213821210946,31347.46097892235,-9218171150999112048
2025-07-30,1465.5110216123658,-30198.801737181242,32323.033589971048,-9218171150999112048
2025-07-31,905.0803845237373,-25488.49365121426,28631.43960880267,-9218171150999112048
2025-08-01,1680.2412787338285,-29686.93950426563,33653.50640753887,-9218171150999112048
2025-08-02,138.3518644376017,-21922.027067363193,23944.941827726165,-9218171150999112048
2025-08-03,188.37098615280775,-22290.983585889182,22325.37417758216,-9218171150999112048
2025-08-04,-24.230722622583347,-22460.848776489824,22328.73442605387,-9218171150999112048
2025-08-05,-263.03569152099425,-24040.03955418938,22698.781278198992,-9218171150999112048
2025-08-06,21.73907016163127,-22787.70862551574,21421.734430074277,-9218171150999112048
2025-08-07,-314.29146849565814,-23843.784860799013,22630.735342367436,-9218171150999112048
2025-08-08,650.8408168933422,-25060.34909354759,25720.661534442825,-9218171150999112048
2025-08-09,-628.6837855005164,-25845.488699806534,24849.683793436565,-9218171150999112048
2025-08-10,-368.6860605931183,-22636.670029209286,24007.84283225695,-9218171150999112048
2025-08-11,-371.3909611125996,-25295.12015504252,23182.825223560536,-9218171150999112048
2025-08-12,-411.8938878594577,-24631.35001198481,24105.125176379162,-9218171150999112048
2025-08-13,38.59942657491172,-22937.35184648241,21169.7699371108,-9218171150999112048
2025-08-14,-131.73409715465445,-23149.02192816526,21412.557472119955,-9218171150999112048
2025-08-15,935.9761633830522,-25976.380454000035,26909.687948640458,-9218171150999112048
2025-08-16,-194.00991804532413,-23649.581948795243,23880.365941028933,-9218171150999112048
2025-08-17,141.5017611983101,-24313.20525191503,21201.911220039092,-9218171150999112048
2025-08-18,196.8136688092128,-23129.22093379131,22557.553393398433,-9218171150999112048
2025-08-19,189.8511201960623,-23335.49849632845,21142.766053731317,-9218171150999112048
2025-08-20,633.1402210991229,-22563.29204103763,26030.774348714967,-9218171150999112048
2025-08-21,452.2008394387336,-23169.90466500646,24135.671549087638,-9218171150999112048
2025-08-22,1447.521844148229,-34422.49900829385,34978.141859775584,-9218171150999112048
2025-08-23,297.97160339958896,-23926.982954530606,22725.331462631075,-9218171150999112048
2025-08-24,549.9868502562534,-24098.608730655375,26265.30317189562,-9218171150999112048
2025-08-25,518.2199295468182,-24657.361303915834,24010.525245407425,-9218171150999112048
2025-08-26,416.94275473134803,-25347.138275080863,24748.103478481455,-9218171150999112048
2022-01-14,55616.58472432322,-19909.68104819338,131019.73967682943,-9217897175181194576
2022-01-15,62873.710967563966,-15086.039833144732,135947.8564968354,-9217897175181194576
2022-01-16,66253.50898115669,-8710.018728021418,146488.38390872147,-9217897175181194576
2022-01-17,56921.20950441274,-15491.394256998012,130406.64518080144,-9217897175181194576
2022-01-18,62312.262316773646,-21765.511947498722,138159.01067727353,-9217897175181194576
2022-01-19,62637.16659923883,-12847.351466907627,138130.3879164072,-9217897175181194576
2022-01-20,36307.107884840654,-41019.91293321138,114591.16233597143,-9217897175181194576
2022-01-21,59769.762928386124,-18935.23684999521,135787.5688098727,-9217897175181194576
2022-01-22,70254.30975011138,-5534.057468574635,150797.50795092582,-9217897175181194576
2022-01-23,76699.4352594458,2861.01031666528,152871.41030253473,-9217897175181194576
2022-01-24,70544.59609433272,-9009.212812411197,144730.3811226833,-9217897175181194576
2022-01-25,77987.16484016976,-862.3228194164411,161381.8448010143,-9217897175181194576
2022-01-26,80005.7513905189,-852.5564013999747,159539.47395324495,-9217897175181194576
2022-01-28,78808.82470496309,1208.6607109607505,153208.75456676778,-9217897175181194576
2022-01-30,94015.38881604563,16847.408558246883,169928.65881107879,-9217897175181194576
2022-01-31,86750.74963607716,12371.848832200694,165675.4956114647,-9217897175181194576
2022-02-01,91967.53497531572,11121.485674402918,163161.75634186214,-9217897175181194576
2022-02-02,91555.32390322535,13405.82477512802,172238.46804387297,-9217897175181194576
2022-02-03,65832.38000901214,-7738.091841689265,147783.43243322166,-9217897175181194576
2022-02-04,84759.85585486803,8372.619641741905,162452.21258744466,-9217897175181194576
2022-02-05,91046.3485090366,16132.808353485707,170876.93592535067,-9217897175181194576
2022-02-06,92994.16157141203,13358.898767522849,172520.96680380532,-9217897175181194576
2022-02-07,82945.10506503815,7003.821893947276,151902.8495280447,-9217897175181194576
2022-02-08,84951.4747589014,9283.869675916056,156224.90515758167,-9217897175181194576
2022-02-09,81825.75321966391,4353.411398337556,156652.2225726891,-9217897175181194576
2022-02-10,54894.183977115885,-26067.755794487977,130205.98340799825,-9217897175181194576
2022-02-11,70899.08600321766,-7879.960315117775,144387.01422577922,-9217897175181194576
2022-02-12,75283.14920387173,600.0837680074378,157264.32677375933,-9217897175181194576
2022-02-13,75995.81510011332,-5195.630587846983,153240.83549104174,-9217897175181194576
2022-02-14,65768.31476835243,-15879.414429660523,137960.4247428133,-9217897175181194576
2022-02-15,67494.41358552658,-10385.862574653942,141411.0679837366,-9217897175181194576
2022-02-16,64796.9249251906,-14055.109976497934,143515.01036549956,-9217897175181194576
2022-02-17,39893.30996188608,-42272.77179330062,115567.09958595189,-9217897175181194576
2022-02-18,56190.291065759964,-26088.32900333237,138650.47135465458,-9217897175181194576
2022-02-19,61751.99101567618,-15240.378861507523,140048.2815108729,-9217897175181194576
